q_id,doc_id,Gender,PlayerName,NumSeasons,AvgPER,CareerPoints
1,424,1,Marina Mabrey,4,14.97,1203
1,425,0,Terence Stansbury,3,9.83,1200
1,426,1,Charlie Hardnett,3,13.47,1198
1,427,0,Troy Daniels,7,11.27,1187
1,428,1,Shane Larkin,3,10.83,1168
1,429,0,Archie Goodwin,6,14.93,1150
1,430,1,Jessica Davenport,6,16.77,1148
1,431,1,Cole Aldrich,9,14.44,1138
1,432,0,Jack Kerris,4,13.52,1137
1,433,0,Fred Hilton,2,11.3,1131
1,434,1,Tonya Edwards,4,13.8,1119
1,435,0,Vladimir Stepania,6,11.65,1118
1,436,0,Manny Leaks,2,10.25,1114
1,437,0,Tim Frazier,7,11.11,1100
1,438,0,Von Wafer,8,-0.19,1100
1,439,0,P.J. Hairston,4,7.25,1074
1,440,0,James Ennis,6,13.12,1059
1,441,0,Acie Law,9,11.12,1053
1,442,1,Sylvia Crawley,4,12.53,1050
1,443,1,Danny Finn,3,12.57,1042
1,444,0,Bob Nash,4,9.72,1036
1,445,1,Sabrina Ionescu,3,18.33,1033
1,446,0,Harthorne Wingo,4,12.02,1023
1,447,0,Alexander Volkov,2,13.7,1019
1,448,0,Clifford Rozier,6,7.07,1016
1,449,1,Bevo Nordmann,8,9.6,1005
1,450,1,Katie Mattera,5,15.54,1000
1,451,0,Carey Scurry,5,14.14,987
1,452,1,Ukari Figgs,5,13.24,980
1,453,0,Walter Bond,5,8.64,980
1,454,0,Bill Dinwiddie,4,7.4,974
1,455,1,Jim McDaniels,5,11.54,967
1,456,0,Ron Reed,2,11.85,951
1,457,0,Elmore Spencer,7,3.13,937
1,458,0,Justin Hamilton,7,11.49,932
1,459,0,Frank Kudelka,4,10.45,930
1,460,0,Yogi Ferrell,3,11.23,924
1,461,0,Julian Wright,4,12.97,907
1,462,1,Alex Montgomery,8,9.06,902
1,463,0,Mike Flynn,2,13.05,896
1,464,1,Juan Carlos,1,11.9,896
1,465,1,Tracy Jackson,5,10.68,890
1,466,1,Nate Hawthorne,3,12.6,882
1,467,0,Zarko Cabarkapa,5,16.82,878
1,468,1,Maria Stepanova,5,19.92,867
1,469,1,Alexis Hornbuckle,6,8.55,866
1,470,1,Alisa Burras,5,16.52,864
1,471,0,Calvin Garrett,4,8.45,855
1,472,1,Tiffani Johnson,6,11.2,849
1,473,1,Harold Ellis,3,16.57,840
1,474,0,Tracy Moore,5,16.64,833
1,475,1,John Laskowski,2,10.55,832
1,476,1,Deanna Jackson,5,13.84,830
1,477,0,Audie Norris,3,8.1,819
1,478,1,Delaney Rudd,4,8.03,816
1,479,1,Brittany Boyd,6,16.68,809
1,480,0,Dante Exum,2,7.15,805
1,481,0,Charlie Paulk,5,6.96,804
1,482,1,Justin Reed,5,8.2,797
1,483,1,Gerald Paddio,6,8.62,768
1,484,0,Malcolm Brogdon,1,14.9,767
1,485,1,Crystal Dangerfield,3,12.87,759
1,486,1,Alicia Thompson,6,12.4,759
1,487,0,Lowes Moore,3,13.8,752
1,488,1,Nia Coffey,6,6.98,741
1,489,1,Steve Henson,7,10.77,739
1,490,1,Tate George,4,8.05,736
